question_id	why_wrong_choices
55	B is wrong - tax determination is a separate objective under tax laws, not PFRS\nC is wrong - management performance assessment is secondary, not primary\nD is wrong - regulatory compliance is a consequence, not the primary objective
56	A is wrong - faithful representation is about accuracy, not decision-usefulness\nC is wrong - comparability is an enhancing characteristic, not fundamental\nD is wrong - verifiability is also an enhancing characteristic
57	B is wrong - control, not legal ownership, is the criterion\nC is wrong - this describes current assets only, not all assets\nD is wrong - potential for benefits is sufficient; certainty is not required
58	A, B, D are wrong - these are all enhancing characteristics\nC is correct - Relevance is a FUNDAMENTAL characteristic, not enhancing
59	A is wrong - income includes gains too\nC is wrong - owner contributions are equity, not income\nD is wrong - not ALL asset increases are income (e.g., borrowing increases assets but isn't income)
60	A is wrong - original cost is irrelevant; the NEW partnership starts fresh\nC is wrong - book value may differ from fair/agreed value\nD is wrong - no such rule; it's purely based on agreement
61	A is wrong - the bonus is FROM old partners, not charged to new partner\nB is wrong - bonus method does NOT record goodwill\nD is wrong - it's a capital adjustment, not an expense
62	A is wrong - outside creditors have FIRST priority, not last\nB is wrong - partners' loans come before capital\nD is wrong - outside creditors must be paid first
63	A is wrong - Investment in Branch is an asset but Home Office is not\nB is wrong - neither is a liability\nD is wrong - neither is an expense
64	A is wrong - book value ignores appreciation/depreciation\nC is wrong - historical cost is acquiree's cost, not current value\nD is wrong - replacement cost is not the PFRS 3 measurement basis
65	A is wrong - auditors are not responsible for detecting ALL fraud\nC is wrong - auditors don't guarantee accuracy\nD is wrong - management prepares financial statements, not auditors
66	A is wrong - oral evidence is least reliable\nB is wrong - internal documents can be manipulated\nD is wrong - client computations may contain errors
67	A is wrong - modified opinion is a result, not the definition of materiality\nC is wrong - criminal prosecution is a legal matter, unrelated\nD is wrong - there's no fixed percentage; it depends on circumstances
68	A is wrong - six months is too short\nC is wrong - three years is beyond the requirement\nD is wrong - indefinite assessment is impractical
69	A is wrong - risk assessment identifies and analyzes risks\nB is wrong - control activities are specific procedures\nD is wrong - monitoring evaluates control effectiveness
70	A is wrong - in-kind benefits are also taxable\nC is wrong - bank deposit is not the trigger\nD is wrong - financial reporting differs from tax reporting
71	A is wrong - this applies to aliens and non-resident citizens\nB is wrong - Philippine income is definitely taxable\nD is wrong - all types of income are taxable, not just capital gains
72	A is wrong - bonuses are part of compensation, taxable\nC is wrong - rental income is taxable\nD is wrong - professional fees are taxable income
73	A is wrong - P2,500 exceeds the P2,000 limit, excess is taxable\nC is wrong - there's a specific limit\nD is wrong - the limit is per month, not annual
74	A is wrong - bank interest is not exempt\nC is wrong - final tax, not graduated rates\nD is wrong - 20% is the correct rate for bank interest
75	A is wrong - depreciation is fixed, doesn't change with production\nC is wrong - supervisor salary is fixed regardless of output\nD is wrong - insurance is a fixed cost
76	A is wrong - that would be profit, not break-even\nC is wrong - variable and fixed costs don't have to be equal\nD is wrong - contribution margin covers fixed costs at break-even
77	A is wrong - fixed costs are not deducted at unit level\nC is wrong - total cost includes fixed, which shouldn't be per-unit allocated this way\nD is wrong - this formula is meaningless
78	A is wrong - sunk costs are NEVER relevant\nC is wrong - sunk costs cannot change; that describes relevant costs\nD is wrong - opportunity cost is what you give up by choosing
79	A is wrong - this describes quantity variance, not price variance\nC is wrong - higher price would be unfavorable\nD is wrong - this also describes quantity variance
80	A is wrong - most contracts can be oral\nC is wrong - notarization is for convenience, not validity\nD is wrong - registration is not required for validity
81	A is wrong - there's a defect in consent\nB is wrong - it's not void, just voidable\nD is wrong - unenforceable is a different category
82	A is wrong - perfection creates obligations, not ownership transfer\nB is wrong - payment is separate from delivery\nD is wrong - registration is not required for ownership transfer in general
83	A is wrong - reinvindicatoria is to recover ownership, not about defects\nC is wrong - publiciana is to recover possession\nD is wrong - pauliana is creditor's action against fraudulent transfers
84	A is wrong - checks are payable on demand, not with maturity date\nC is wrong - stating the reason makes it conditional\nD is wrong - collateral is not a requirement
